file_name,N_m,NSE_m,RMSE_M,algo_m,m_poly_p1,m_poly_p2,m_poly_p3,m_n3_p1,m_n3_p2,N_nm,NSE_nm,RMSE_nM,algo_nm,nm_poly_p1,nm_poly_p2,nm_poly_p3,nm_n3_p1,nm_n3_p2,name,lat,lon
df_st_Marol.xlsx,1699,0.9646450669680899,38.56869756098975,1,14.542483660313978,-14744.30401940379,3737197.9387580566,,,632,0.8718244118576783,28.913303327020852,1,20.413562259426236,-20745.08689039184,5270505.660991038,,,Marol,14.93888888888889,75.61805555555554
df_st_Mataji.xlsx,1073,0.9496729063721363,143.15240881278856,2,,,,10.93750747751895,285.5632398579409,1846,0.9574314805659245,10.501022657462507,1,79.35173663028463,-45475.82105525504,6515450.865709507,,,Mataji,23.34972222222222,74.71833333333333
df_st_Mohgaon.xlsx,2242,0.977731645810899,53.87372473399198,1,35.0118001369445,-31428.194135027537,7052829.216352829,,,4660,0.9754058793143097,5.043179233671758,1,49.3359047134641,-44332.76792941703,9959250.707146848,,,Mohgaon,22.76583333333333,80.62333333333332
df_st_Mortakka.xlsx,891,0.9961355674637309,146.82959046995796,1,205.68597637891955,-63738.95508212272,4937815.186850206,,,1854,0.9233830754138999,95.79628733846607,1,228.12888177654628,-70802.5332779699,5493601.706611848,,,Mortakka,22.22638888888889,76.04722222222222
df_st_MOTINAROLI.xlsx,2137,0.8907189849037012,28.78453933692656,1,5.826084268250366,-69.331433452138,181.9534582630445,,,6001,0.84652503186682,21.310581601142694,1,5.75894137506371,-71.93120179100258,210.63290971058638,,,MOTINAROLI,21.23777777777778,72.96333333333334
df_st_MURAPPANADU.xlsx,2112,0.6278020882345867,4.601971263968891,2,,,,4.86582674134784,13.800878863725416,4463,0.902365791402466,18.352580605295238,2,,,,4.721327355727914,13.697284654675537,MURAPPANADU,8.714444444444444,77.835
df_st_MUTHANKERA.xlsx,2216,0.9852738226282267,22.411477258948942,1,46.81193367637099,-66170.88706673744,23383900.09307537,,,4472,0.9891788004994756,3.398559206262909,1,53.875287535089136,-76186.19684420167,26934131.998329986,,,MUTHANKERA,11.80805555555556,76.08416666666666
df_st_Naidupet.xlsx,1694,0.8587017600354956,33.34708198974476,1,70.99779994169441,-2948.6239967431497,30614.01140704113,,,1646,0.8584285618924743,33.8304753835391,1,71.00873189132871,-2949.1080370226873,30619.35532913159,,,Naidupet,13.94722222222222,79.89722222222223
df_st_NALLAMARANPATTY.xlsx,1596,0.7820316916374711,26.828199846002036,2,,,,19.024629700202443,128.06064648799259,1291,0.7984926877098795,28.32583273418498,1,86.36417525885044,-22218.608661102226,1429026.802385806,,,NALLAMARANPATTY,10.88083333333333,77.98472222222222
df_st_Nandgaon.xlsx,1935,0.9008184830078683,79.94743067218825,1,21.14300327315315,-8422.926299307792,838826.9035808175,,,3973,0.8735535644731086,4.756843925184965,1,30.272363200221506,-12134.55753795111,1216024.0165014318,,,Nandgaon,20.52555555555556,78.80888888888889
df_st_Narsingpur.xlsx,984,0.9858624728689475,119.40088890231047,1,32.39983631372037,-28869.914741074997,6430644.442704431,,,934,0.9304953606696178,45.24329667959255,1,94.89930708602233,-85213.13995857837,19128899.376690242,,,Narsingpur,17.97138888888889,75.13916666666667
